ID	X	Y	Z	W	L	H	TX	TY	Type	Color	Gesture	Name
37	1065	655	45	3	2	6	0	0	2	4081	13	washBasin
37	1065	645	45	3	2	6	987	650	2	4081	13	washBasin
38	900	330	68	64	120	6	0	0	2	4095	13	sink_1
38	900	384	78	64	12	14	0	0	2	4095	13	sink_2
38	900	300	78	64	60	14	0	0	2	4095	13	sink_3
38	924	354	78	16	48	14	0	0	2	4095	13	sink_4
38	876	354	78	16	48	14	0	0	2	4095	13	sink_5
38	923	360	95	5	5	21	0	0	2	287	13	sink_6
38	917	360	103	11	5	5	0	0	2	287	13	sink_7
38	913	360	98	5	5	5	0	0	2	287	13	sink_8
38	900	300	83	44	40	2	0	0	2	3003	13	sink_9
38	904	330	32	57	120	65	0	0	2	4095	13	sink_10
38	872	361	32	7	60	65	0	0	2	4081	13	sink_11
38	872	299	32	7	60	65	0	0	2	4081	13	sink_12
38	867	335	47	3	2	6	0	0	2	2184	13	sink_13
38	867	325	47	3	2	6	788	340	2	2184	13	sink_14
39	900	450	39	57	62	77	0	0	2	4095	13	stove_1
39	895	450	78	39	54	2	0	0	2	3003	13	stove_2
39	920	450	78	10	54	2	0	0	2	273	13	stove_3
39	888	463	80	8	8	2	0	0	3	2184	13	stove_4
39	888	463	83	3	3	4	0	0	3	273	13	stove_5
39	902	437	80	8	8	2	0	0	3	2184	13	stove_6
39	902	437	83	3	3	4	0	0	3	273	13	stove_7
39	898	463	81	2	2	4	0	0	2	273	13	stove_8
39	895	463	82	4	2	2	0	0	2	273	13	stove_9
39	878	463	81	2	2	4	0	0	2	273	13	stove_10
39	881	463	82	4	2	2	0	0	2	273	13	stove_11
39	888	473	81	2	2	4	0	0	2	273	13	stove_12
39	888	470	82	2	4	2	0	0	2	273	13	stove_13
39	888	453	81	2	2	4	0	0	2	273	13	stove_14
39	888	456	82	2	4	2	0	0	2	273	13	stove_15
39	912	437	81	2	2	4	0	0	2	273	13	stove_16
39	909	437	82	4	2	2	0	0	2	273	13	stove_17
39	892	437	81	2	2	4	0	0	2	273	13	stove_18
39	895	437	82	4	2	2	0	0	2	273	13	stove_19
39	902	447	81	2	2	4	0	0	2	273	13	stove_20
39	902	444	82	2	4	2	0	0	2	273	13	stove_21
39	902	427	81	2	2	4	0	0	2	273	13	stove_22
39	902	430	82	2	4	2	0	0	2	273	13	stove_23
39	871	450	60	1	52	20	0	0	2	3003	13	stove_24
39	870	450	62	2	26	10	0	0	2	273	13	stove_25
39	870	469	55	2	4	2	0	0	2	2184	13	stove_26
39	870	433	55	2	4	2	0	0	2	2184	13	stove_27
39	870	428	55	2	4	2	792	450	2	2184	13	stove_28
40	400	350	97	38	120	6	0	0	2	2065	13	closet_1
40	400	350	3	38	120	6	0	0	2	2065	13	closet_2
40	398	407	50	33	6	88	0	0	2	2065	13	closet_3
40	398	293	50	33	6	88	0	0	2	2065	13	closet_4
40	417	350	50	5	120	88	0	0	2	2065	13	closet_5
40	384	350	84	5	108	20	0	0	2	4081	13	closet_6
40	384	350	61	5	108	20	0	0	2	4081	13	closet_7
40	384	350	39	5	108	20	0	0	2	4081	13	closet_8
40	384	350	16	5	108	20	0	0	2	4081	13	closet_9
40	384	350	73	5	108	3	0	0	2	2065	13	closet_10
40	384	350	50	5	108	3	0	0	2	2065	13	closet_11
40	384	350	27	5	108	3	0	0	2	2065	13	closet_12
40	383	387	84	2	12	2	0	0	2	3003	13	closet_13
40	383	313	84	2	12	2	0	0	2	3003	13	closet_14
40	383	387	61	2	12	2	0	0	2	3003	13	closet_15
40	383	313	61	2	12	2	0	0	2	3003	13	closet_16
40	383	387	39	2	12	2	0	0	2	3003	13	closet_17
40	383	313	39	2	12	2	0	0	2	3003	13	closet_18
40	383	387	16	2	12	2	0	0	2	3003	13	closet_19
40	383	313	16	2	12	2	301	350	2	3003	13	closet_20
41	1100	1150	17	24	24	34	0	0	3	287	13	toilet
41	1100	1150	39	51	47	10	0	0	2	287	13	toilet
41	1143	1150	49	34	47	57	995	1150	2	287	13	toilet
